common_name,area,n,q99,max_age,mean_top5
dusky rockfish,GOA,3939,38.61999999999989,66,60.4
northern rockfish,AI,4974,52.26999999999953,88,75.66666666666667
northern rockfish,BS,628,53,76,68.4
northern rockfish,GOA,8229,44,68,63.2
rougheye rockfish,AI,2101,80,131,113.5
rougheye rockfish,BS,638,103,130,120.2
rougheye rockfish,GOA,3715,85.86000000000013,126,112.6
