akr_id,akr_name,akr_code,obs_id,obs_name,obs_code
1036,"Shark, salmon",690,161,SHARK UNIDENTIFIED,65
1001,"Shark, spiny dogfish",691,162,SPINY DOGFISH SHARK,66
11,English Sole,128,176,ENGLISH SOLE,108
75,Sablefish (blackcod),710,188,SABLEFISH (BLACKCOD),203
1517,Eels or eel-like fish  ,210,205,EELPOUT UNIDENTIFIED,250
21,Pacific Ocean Perch,141,213,PACIFIC OCEAN PERCH,301
33,Redbanded Rockfish,153,219,RED BANDED ROCKFISH,308
17,Greenstriped Rockfish,135,223,GREENSTRIPED ROCKFISH,313
42,Blue Rockfish,167,226,BLUE ROCKFISH,316
38,Redstripe Rockfish,158,232,REDSTRIPE ROCKFISH,324
53,Stripetail Rockfish,183,235,STRIPETAIL ROCKFISH,328
1534,Large Sculpins - Plain Sculpin,282,248,PLAIN SCULPIN,399
1517,Eels or eel-like fish  ,210,271,RIBBONFISH UNIDENTIFIED,563
1614,Pacific Herring (directed fishery),230,272,SMELT/HERRING UNIDENTIFIED,600
1517,Eels or eel-like fish  ,210,285,CUTLASSFISH UNIDENTIFIED,660
1518,Wolf-eel ,217,299,WOLF-EEL,780
1521,"Poacher, general",219,374,NORTHERN SPEARNOSE POACHER,458
1531,Other Small Sculpins,160,383,LEISTER SCULPIN,427
1531,Other Small Sculpins,160,387,DUSKY SCULPIN,404
1497,"Sturgeon, general",680,399,GREEN STURGEON,231
1621,"Skate, Other",700,408,CALIFORNIA SKATE,87
1621,"Skate, Other",700,412,SANDPAPER SKATE,98
84,Blue King Crab,922,420,BLUE KING CRAB,6
1531,Other Small Sculpins,160,449,SAILFIN SCULPIN,419
1517,Eels or eel-like fish  ,210,458,MARBLED EELPOUT,249
1031,"Shrimp, Northern (Pink)",961,460,NORTHERN PINK SHRIMP,73
71,Capelin,516,479,CAPELIN,604
1521,"Poacher, general",219,493,WARTY POACHER,451
1031,"Shrimp, Northern (Pink)",961,518,SHRIMP UNIDENTIFIED,70
1532,Large Sculpins - Bigmouth Sculpin,280,530,SCULPIN UNIDENTIFIED,400
1028,"Crab, scarlet king",924,556,KING CRAB UNIDENTIFIED,2
986,"Greenling, rock",191,563,GREENLING UNIDENTIFIED,390
1517,Eels or eel-like fish  ,210,578,CUSK-EEL UNIDENTIFIED,248
1530,"Jellyfish, general",625,1052,JELLYFISH UNIDENTIFIED,35
60,"Bristlemouths, (family Gonostomatidae)",209,1181,BRISTLEMOUTHS,696
1531,Other Small Sculpins,160,1249,GYMNOCANTHUS UNIDENTIFIED,431
1621,"Skate, Other",700,1620,BUTTERFLY SKATE,168
76,Lanternfishes (family Myctophidae),772,1636,MYCTOPHIDAE SPP,699
1621,"Skate, Other",700,1638,ROUGHSHOULDER SKATE,166
81,Squid,875,98,SQUID UNIDENTIFIED,50
1513,Miscellaneous Flatfish,120,115,PACIFIC SANDDAB,137
1534,Large Sculpins - Plain Sculpin,282,118,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
1538,Other Large Sculpins,286,118,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
68,Chum Salmon,450,127,CHUM SALMON,221
67,Pink Salmon,440,130,PINK SALMON,225
1029,"Crab, hair",940,131,CRAB UNIDENTIFIED,1
1026,"Crabs, box",900,134,BOX CRAB,11
1036,"Shark, salmon",690,163,SALMON SHARK,67
992,Pacific hagfish,212,164,HAGFISH UNIDENTIFIED,77
1551,"Skate, Longnose",701,169,LONGNOSE SKATE,95
1621,"Skate, Other",700,170,STARRY SKATE,96
1621,"Skate, Other",700,184,GOLDEN SKATE,160
2,Pacific Cod,110,187,PACIFIC COD,202
1504,Saffron Cod,111,193,SAFFRON COD,208
1517,Eels or eel-like fish  ,210,206,POLAR EELPOUT,252
41,Sharpchin Rockfish,166,215,SHARPCHIN ROCKFISH,304
47,Harlequin Rockfish,176,231,HARLEQUIN ROCKFISH,323
218,Unidentified Rockfish,139,241,P.O.P. GROUP,344
987,"Greenling, whitespot",192,244,WHITESPOTTED GREENLING,391
1531,Other Small Sculpins,160,246,TADPOLE SCULPIN,397
1532,Large Sculpins - Bigmouth Sculpin,280,249,BIGMOUTH SCULPIN,402
1531,Other Small Sculpins,160,255,BLACKFIN SCULPIN,411
1531,Other Small Sculpins,160,263,ARMORHEAD SCULPIN,470
1531,Other Small Sculpins,160,264,ROUGHSPINE SCULPIN,471
1531,Other Small Sculpins,160,379,SLIM SCULPIN,416
1517,Eels or eel-like fish  ,210,401,SPOTTED CUSK-EEL,256
73,"Shark, Other",689,402,BLUE SHARK,69
1035,"Shrimp, spot",965,403,SPOT SHRIMP,71
25,Yelloweye Rockfish,145,424,YELLOWEYE ROCKFISH,322
1646,Shortraker/Rougheye Rockfish,171,451,SHORTRAKER/ROUGHEYE ROCKFISH,354
1517,Eels or eel-like fish  ,210,457,EBONY EELPOUT,263
1513,Miscellaneous Flatfish,120,463,C-O SOLE,118
73,"Shark, Other",689,469,BROWN CAT SHARK,68
51,Shortbelly Rockfish,181,474,SHORTBELLY ROCKFISH,318
1531,Other Small Sculpins,160,495,NORTHERN SCULPIN,417
73,"Shark, Other",689,500,SOUPFIN SHARK,64
1035,"Shrimp, spot",965,518,SHRIMP UNIDENTIFIED,70
1000,"Lamprey, pacific",600,519,PACIFIC LAMPREY,79
1615,"Skate, Alaska",703,520,ALASKA SKATE,88
1517,Eels or eel-like fish  ,210,544,BLACKBELLY EELPOUT,261
83,Red King Crab,921,556,KING CRAB UNIDENTIFIED,2
85,"Crab, Golden King (Brown)",923,556,KING CRAB UNIDENTIFIED,2
1526,Dark Rockfish,173,562,DUSKY ROCKFISH UNIDENTIFIED,355
987,"Greenling, whitespot",192,563,GREENLING UNIDENTIFIED,390
1612,"Crab, Multispine",951,1218,PARALOMIS MULTISPINA,17
1016,"Scallop, weathervane",850,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1020,Oysters,880,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1017,"Scallop, pink (or calico)",851,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1613,"Crab, Verrilli",953,1230,PARALOMIS VERILLI CRAB,38
1531,Other Small Sculpins,160,1252,ICELUS UNIDENTIFIED,436
1022,Snails,890,1308,ERODED TURRET SNAIL,928
1022,Snails,890,1354,PALLID MOON SNAIL,985
1621,"Skate, Other",700,1647,STIFF SNOUT SKATE,167
